metricId,dimension_id,queryable
ell_pct,school_year,y
ell_pct,school,y
frl_pct,school_year,y
frl_pct,school,y
iep_pct,school_year,y
iep_pct,school,y
accounts_payable,metric_time,y
accounts_receivable,metric_time,y
annual_budget,metric_time,y
app_downloads,metric_time,y
app_downloads,platform,y
backlink_count,domain,y
backlink_count,link_type,y
backlink_count,metric_time,y
backlinks_count,metric_time,y
benefits_utilization,metric_time,y
cash_and_equivalents,metric_time,y
code_coverage,metric_time,y
code_coverage,service,y
college_enrollment,school,y
college_enrollment,grad_year,y
college_enrollment,college_type,y
college_enrollment,subgroup,y
contracted_unbilled,metric_time,y
customer_count,metric_time,y
customer_count,segment,y
da,metric_time,y
demo_requests,metric_time,y
demo_requests,channel,y
discount_rate,metric_time,y
discount_rate,product,y
ebitda_bridge_price,company,y
ebitda_bridge_price,product_line,y
ebitda_bridge_price,metric_time,y
ebitda_bridge_volume,company,y
ebitda_bridge_volume,product_line,y
ebitda_bridge_volume,metric_time,y
energy_cost_per_unit,facility,y
energy_cost_per_unit,production_line,y
energy_cost_per_unit,metric_time,y
event_attendees,metric_time,y
event_attendees,event,y
expulsion_rate,school_year,n
expulsion_rate,school,y
extracurricular_rate,school_year,y
extracurricular_rate,school,y
family_engagement_rate,school_year,y
family_engagement_rate,school,y
feature_request_volume,feature_area,y
feature_request_volume,segment,y
feature_request_volume,channel,y
feature_request_volume,metric_time,y
funnel_dropoff,metric_time,y
funnel_dropoff,funnel_step,y
impressions,channel,y
impressions,campaign,y
impressions,ad_set,y
impressions,metric_time,y
impressions,ad,y
marketplace_buyers,metric_time,y
marketplace_sellers,metric_time,y
monthly_new_customers,metric_time,y
monthly_new_customers,channel,y
monthly_new_customers,acquisition_channel,y
monthly_new_customers,segment,y
on_time_lesson_delivery,teacher,y
on_time_lesson_delivery,school,y
on_time_lesson_delivery,subject,y
on_time_lesson_delivery,metric_time,y
open_requisitions,metric_time,y
open_requisitions,department,y
oss_stars,metric_time,y
oss_stars,repo,y
overtime_hours,metric_time,y
overtime_hours,department,y
pr_mentions,metric_time,y
pr_mentions,outlet,y
pr_merge_time,metric_time,y
pr_merge_time,team,y
recruiting_pipeline,metric_time,y
recruiting_pipeline,department,y
referral_sessions,referrer_domain,y
referral_sessions,landing_page,y
referral_sessions,metric_time,y
remote_work_rate,metric_time,y
remote_work_rate,department,y
sam,metric_time,y
separations,metric_time,y
separations,department,y
shareholder_equity,metric_time,y
sm_spend,metric_time,y
work_orders,work_order,y
work_orders,facility,y
work_orders,category,y
work_orders,priority,y
work_orders,metric_time,y
survey_response_rate,metric_time,y
tam,metric_time,y
testimonials_count,metric_time,y
total_assets,metric_time,y
total_debt,metric_time,y
total_liabilities,metric_time,y
trial_signups,metric_time,y
trial_signups,channel,y
competitive_win_rate,metric_time,y
competitive_win_rate,competitor,y
complaints_count,metric_time,y
headcount_fte,company,y
headcount_fte,department,y
headcount_fte,location,y
headcount_fte,metric_time,y
new_hires,metric_time,y
new_hires,department,y
rd_headcount,metric_time,y
sales_headcount,metric_time,y
total_comp_expense,metric_time,y
total_comp_expense,department,y
ad_clicks,channel,y
ad_clicks,campaign,y
ad_clicks,ad_set,y
ad_clicks,metric_time,y
content_published_count,content_type,y
content_published_count,topic,y
content_published_count,channel,y
content_published_count,metric_time,y
organic_sessions,landing_page,y
organic_sessions,keyword,y
organic_sessions,device,y
organic_sessions,metric_time,y
social_followers,platform,y
social_followers,social_account,y
social_followers,metric_time,y
leads,metric_time,y
leads,channel,y
webinar_registrants,metric_time,y
webinar_registrants,webinar,y
incident_count,metric_time,y
inventory_value,metric_time,y
inventory_value,product,y
inventory_items,metric_time,y
inventory_items,product,y
inventory_items,location,y
order_lines,order,y
order_lines,order_line,y
order_lines,product,y
order_lines,warehouse,y
tickets_created,metric_time,y
tickets_created,priority,y
tickets_created,category,y
tickets_created,channel,y
tickets_created,product,y
tickets_resolved,metric_time,y
arr,metric_time,y
arr,segment,y
arr,product,y
churn_rate,cohort_month,y
churn_rate,plan_tier,y
churn_rate,geography,y
churn_rate,segment,y
churned_arr,metric_time,y
churned_arr,segment,y
cohort_churn,metric_time,y
cohort_churn,cohort,y
committed_arr,metric_time,y
contraction_arr,metric_time,y
contraction_arr,segment,y
gross_revenue,metric_time,y
gross_revenue,channel,y
implementation_revenue,metric_time,y
prior_year_revenue,metric_time,y
q1_revenue,metric_time,y
q2_revenue,metric_time,y
q3_revenue,metric_time,y
q4_revenue,metric_time,y
api_calls_total,metric_time,y
api_calls_total,endpoint,y
api_consumers,metric_time,y
sprint_velocity,metric_time,y
sprint_velocity,team,y
instructional_minutes,school_year,y
instructional_minutes,school,y
instructional_minutes,grade_level,y
